ven_d,model_d,tac_d
leeco,le 2 x6201,86286203
htc,desire 620 0pe6100,35309406
lg,k10 lte dual k420ds,35771507
micromax,canvas mega e353,91145765
htc,one xc x720d,35219905
blu,tank xtreme pro,35159709
vodafone,smart tab 4g,35435306
alcatel,one touch pop 8 p320x,86366202
samsung,freeform m sght189n,35688105
elephone,s2,35481007
alcatel,duet go 602d,35746204
lg,k10 3g dual k410 k410a,35652707
lg,k10 3g dual k410 k410a,35652907
lenovo,k3 music lemon tdlte k30w,86602302
blu,life one x2 mini,35711008
wiko global sasu,wiko jimmy,35619606
karbonn,titanium s205 2gb,91147965
samsung,galaxysphl710schi200schr530schi535sphl900schr830schr950sphp500schi605schi915,99000207
htc,u12 plus 2q55300,35220109
prestigio,multipad muze 3g pmt5001,35692406
wiko global sasu,wiko view prime,35248209
micromax,x2400 dual,91148150
blu,tank xtreme 24,35592608
allview,e4,35417707
alcatel,1x 5059s1,35404310
micromax,smarty 30 a30,91124700
prestigio,grace x7 psp7505 duo,35995106
alcatel,flash 6042d,86511802
nokia,61 dual ta1068,35855708
asus,zenfone 4 max zc520kl x00ed,35232408
gionee,f100sd,86486903
meizu,note 5 meilan note 5 m5 note m621cs,86423403
meizu,note 5 meilan note 5 m5 note m621cs,86488403
lava,iris 352 flair,91138650
samsung,galaxy s4 4g sghn055,35552705
huawei,honor 6a pro dlil42,86475403
sharp,aquos phone shl23,35657805
motorola,moto x style xt1570 c5l7a6r4k,35899506
micromax,x704,91147660
micromax,x704,91153990
lg,g5 europe h850k,35846507
samsung,z3 smz300fdd,35341807
samsung,z3 smz300fdd,35341907
huawei,y5 2019 amnlx1,86443404
alcatel,pixi 3 45 dual 5019d,35239807
fly,ds107d eon,35593506
micromax,x910 x910a,91147620
micromax,x910 x910a,91148360
sony,xperia c3 d2533,35534206
asus,zenfone max plus zb570tl x018d1,35269009
asus,zenfone max plus zb570tl x018d1,35268909
xolo,q800,91130675
huawei,honor y6 pro lte tital001,86124903
lenovo,k3 note k50t3s,86720002
huawei,e5775s925,86456601
samsung,galaxy tab 2 101 tmobile sght779,35441405
panasonic,gd22,35496606
philips,xenium x528,86120501
iball,bliss 35u,91140465
philips,w536,86726101
micromax,x707,91147235
ark,benefit u1,35365507
kechao,k8,86375401
acer,liquid x1 s531,35314706
wiko,u feel dual,35796507
fly,stratus 1 fs401,35233607
lg,optimus lte iii f260s,35570605
samsung,galaxy tab s3 lte smt827t,35696608
cubot,x17,35253307
sony,xperia m dual c2004,35270906
sony,xperia m dual c2004,35809805
haier,i816,86378701
blu,dash 55 d572a d572i,35379106
oppo,r9 plust a,86074903
maxcom,mm237,35321009
maxcom,mm237,35696407
zen,admire glow,91152800
motorola,moto g 3rd gen xt1548 gr12100145 moto g 2015,99000575
micromax,canvas juice 3 plus q394,91144215
coolpad,7269,86070602
megafon,login spai,35595405
coolpad,8950,86376501
sierra wireless,airprime mc7350,35616205
motorola,moto z3 play xt192981,35410409
htc,10 2ps6400,99000720
beeline,smart 3,86578402
videocon,infinium z52 inspire,91150030
qumo,push 180,35509107
hyundai,e435,35319707
fairphone bv,fairphone 2,35906907
karbonn,a51,91138055
karbonn,a51,91134215
samsung,galaxy tab s3 lte smt8251,35902606
infinix,zero 5,35894408
huawei,honor v10 bkltl10,86738903
huawei,honor v10 bkltl10,86695603
htc,velocity 4g ph39140,35922304
iball,andi 5s cobalt3,91139300
ruggear,voyager rg310,86861602
huawei,e5180s610,86636802
micromax,x2820,91140055
blu,studio g d790u d790l,35901506
blu,studio g d790u d790l,35509607
mts,945 glonass,35573604
myphone,infinity lte,35851506
zte,blade g2 v880h,35724504
zte,blade g2 v880h,91132365
intex,aqua air ii,91149395
qmobile,b35,35371806
huawei,honor 8 smart venl22,86330903
samsung,galaxy a6 2018 dual sma600fnds1,35553010
samsung,galaxy a6 2018 dual sma600fnds1,35553110
samsung,galaxy mega 58 gti9158,35613105
motorola,moto g5s plus dual xt1805,35565408
motorola,moto g5s plus dual xt1805,35183409
motorola,moto g7 plus xt19651,35557109
blu,studio c 55 d890u d890l,35292707
gionee,f103 gbl7319,86851002
ulefone,power 5,35819309
intex,aqua q7n,91152615
huawei,enjoy 7s figal00,86815903
huawei,enjoy 7s figal00,86583103
lenovo,s90 sisley s90e,86637902
samsung,metro 312 smb312eh,35273106
micromax,canvas viva a72,91130715
alcatel,idol 5s 6060x,35623808
samsung,galaxy tab4 70 lte smt239t,35993106
samsung,galaxy s9 smg960w2,35268010
highscreen,pure power,35216908
huawei,honor 7i standard edition tdlte dual athtl00,86685702
fly,ts107 mingren ts107,86233002
micromax,x245,91142545
micromax,x245,91137345
doogee,x7 pro,35463408
lg,g3 s d725pr,35657906
xolo,prime,35278208
xolo,prime,91144300
voto,p9000 lexand s4a1 vega,86975800
lenovo,moto g5 plus dual xt1685,35564308
lenovo,moto g5 plus dual xt1685,35185908
lava,iris fuel 25,91142505
vsun,i1s,86245602
htc,u11 life 2q3f200,35873608
doogee,t5 s,35512508
gigabyte,gsmart guru g1,35925505
kechao,c7,35722504
huawei,g8 tdlte dual riol03,86711802
samsung,galaxy grand 2 lte dual smg7108v,35188806
samsung,galaxy grand 2 lte dual smg7108v,35506006
lg,g pad 80 p490l,35541506
htc,incredible s s710d,86616000
explay,joy,86347602
huawei,honor 7c lndal40,86819003
huawei,honor 7c lndal40,86723703
nokia,lumia 630 dual rm979,35576906
nokia,lumia 630 dual rm979,35303706
myphone,6300,35478107
intex,aqua 3g pro dual,91149740
coolpad,8750 xuan ying sii,86084302
videocon,infinium z45q star,91146560
lg,optimus l5 dual swift l5 dual e615f,35151206
lg,optimus l5 dual swift l5 dual e615f,35829905
intex,elyte1,91156430
huawei,nova 2s hwial10,86653503
archos,55b cobalt,35607008
karbonn,alfa a120,91144360
alcatel,3 2019 5053a,35524910
panasonic,t33,35154407
huawei,p8 max dav701l,86778202
alcatel,one touch pop 4 plus dual 5056t 5056u,35155408
alcatel,one touch pop 4 plus dual 5056t 5056u,35702707
asus,zenfone 4 pro zs551kl z01gd1,35845308
samsung,galaxy j docomo sc02f,35774405
micromax,canvas nitro a311,91140730
huawei,g8 tdlte dual riol02,86711602
meizu,mx3 mx3td,86315102
micromax,x396,91125375
oppo,r7 lite r7kf,86879102
prestigio,multiphone 3405 duo,35736206
wiko,bkool,35790307
intex,ablaze 70 3g,91141805
lg,optimus l3 ii dual e435g,35574805
intex,aqua qwerty,91137300
samsung,galaxy s6 duos ltea smg920fd2,35794406
samsung,galaxy s6 duos ltea smg920fd2,35794306
sonim,xp6 xp6700 l14v011aa,35812207
lenovo,yoga tab 3 pro 101 tdlte yt3x90x,86838802
lava,a48,91151330
lava,iris x1 mini,91142480
lenovo,vibe x s960,86232102
wileyfox,spark,35179508
sony,xperia t2 ultra d5303,35301206
huawei,honor 7s dual dual222,86471504
huawei,honor 7s dual dual222,86931603
intex,aqua 4g strong,91149965
spice,xlife 425 mi425,91148415
blu,studio x8 hd,35928607
blu,studio x8 hd,35829508
lenovo,p639,86834400
lyf,water 2 ls5008,91151660
lg,e300,35711904
zte,r3100 hollywood,86379601
huawei,mate 20 hmatl001,86348504
alcatel,u5 5044t,35448808
micromax,canvas juice a177,91136265
micromax,canvas juice a177,91139705
myphone,csmart glam,35305208
samsung,galaxy core 2 duos smg3556d,35241906
samsung,galaxy core 2 duos smg3556d,35242006
zte,q207t tdlte,86750302
alcatel,u5 3g 4047x,35703008
hisense,hsu1,86635801
zte,mf1933,86989601
blackberry,z30 rgu131lw,35946305
qmobile,b90,35413606
amoi,n79,86811600
explay,ice,35203305
explay,ice,35263408
gionee,piioner p5l,86981302
coolpad,8720,86881401
nokia,xl dual sim rm1042,35307406
alcatel,one touch pop d5 5038x,86458902
samsung,gear s2 classic smr732s,35951506
fly,nimbus 3 fs501,35241807
alcatel,pixi 3 45 lte 5017w,35438507
huawei,pralx1 nova lite p8 lite 2017 p9 lite 2017,86500603
intex,elyte6,91159980
asus,zenfone zoom zx551ml z00xsa,35223007
texet,xstart tm4172,35967904
samsung,galaxy s8 plus wimax 2 smg955j scv37,35911908
alcatel,one touch idol 2 mini ot 6016a,86382802
lg,l50 sporty dual tv d227,35741106
lg,l50 sporty dual tv d227,35456606
samsung,galaxy grand 4g shve275s,35795205
micromax,x2411,91146970
micromax,x2411,91138510
oukitel,c2,35747407
videocon,infinium z45 amaze,91148535
huawei,honor waterplay lte hdnal09,86996003
huawei,e5186s61a,86439202
xiamen meitu mobile technology co ltd,meitu v4,86585902
intex,aqua star ii,91143050
htc,evo 4g rider,35678904
lyf,water 1 ls5002,86887702
lyf,water 1 ls5002,91152675
huawei,mediapad 7 youth 2 s7722u,86470402
alcatel,one touch pop 2 50 premium 7044x,86544302
lenovo,moto g6 play dual xt19223 xt192213,35185809
lenovo,moto g6 play dual xt19223 xt192213,35184409
vivo,y79,86851303
vivo,y79,86747303
swipe,elite 3,91154960
sony,xperia z3 e6553,35905706
lg,g flex korea f340s,35850505
micromax,x610 dual,91152085
gigabyte,gsmart roma r2,35893205
htc,one x9 dual x9u,35385407
htc,one x9 dual x9u,35424607
motorola,moto g6 dual xt19252,35184709
lenovo,a5600,86713802
huawei,nova 4e maral001,86747204
intex,aqua a2,91143950
karbonn,a51 lite,91141340
htc,desire 12 2q5v100,35495809
apple,iphone 7 a16606,35672708
lg,q6 m700h,35873408
swipe,elite plus1,91152190
nokia,lumia 1320 rm995,35959605
sony,xperia z5 premium e6853 pm0911bv,35432107
spice,m6460,91110260
spice,xlife 364 mi364,91145130
micromax,canvas tab p701,91149025
panasonic,p85 nxt,35262910
micromax,canvas amaze q395,91145090
philips,xenium x125,35734004
nokia,x2 rm1014,35364706
iball,prince 2,91151860
iball,prince 2,91144765
lg,stylus 2 plus dual k535n,35886107
iball,andi 45v baby panther,91140175
alcatel,a7 xl dual 7071i,35992208
lyf,water 4 ls5005,91155185
spice,pinnacle fhd mi525,91132755
lenovo,moto g5 plus xt1681,35185708
htc,u11 2pzc2001,35613408
htc,u ultra 2pzf1001,35612308
lg,tribute 2 ls6652,35508207
swipe,neo power,91157635
kazam,tornado2 50,35276006
samsung,galaxy j3 pro smj3119s,35806808
samsung,galaxy j3 pro smj3119s,35806708
explay,sl241,86075700
htc,desire 728 dual 2pq8110,35719307
htc,desire 728 dual 2pq8110,35349207
lava,z91,91162300
huawei,mate 10 dual alpl29,86621403
asus,zenfone 3 laser zc551kl z01bdb,35177508
karbonn,a5s,91136890
lg,g pad 83 lte vk815,35711206
nokia,3 dual ta1063,35337809
nokia,3 dual ta1063,35898609
vivo,x5v,86741002
fly,era life 2 iq456,86456902
oppo,a59,86154103
alcatel,soul ot 819ot 819aot 819x,35746404
huawei,p9 lite dual vnsl22,86939702
xiaomi,redmi 2s,86537002
htc,desire 728g 2pq8200,35187807
lg,l65 d280f,35293906
samsung,galaxy a50 dual sma505vds,35488810
samsung,galaxy a50 dual sma505vds,35488710
highscreen,prime l,35824607
videocon,challenger v40ld,91150190
oppo,1107 dual,86790802
samsung,galaxy grand 4g shve270k,35451805
huawei,p9 plus dual viel20 a169l20,86112303
huawei,p9 evaal108,86458803
lava,iris 550q,91134225
micromax,x2825,91140995
lg,optimus g 4g docomo gj l01e,35336305
philips,e571,86353703
philips,xenium w930,86397301
lg,g4 as811,35320807
philips,v787,86862502
allview,p4 pro,35764108
samsung,galaxy s6 edge verizon smg928v,99000699
lenovo,moto z play droid dual xt16352,35331508
htc,desire 10 pro d10w,35275308
htc,desire 10 pro d10w,35398808
vivo,x5pro v,86736802
vivo,x5pro v,86868502
myphone,hammer 2,35338707
zte,max lte z963vl,99000674
huawei,e5186s63c,86677502
zte,blade a520 dual,86568303
zte,blade a520 dual,86297403
huawei,me906s158,86716002
philips,x1510,86959501
nokia,ta1089,35339809
nokia,ta1089,35341609
lg,g6 canada h873u,35399109
lenovo,a586,86880301
samsung,galaxy tabpro s smw727v,35477108
lg,g6 dual h870ds,35614508
samsung,galaxy mega 58 dual sim schp709,35713105
samsung,galaxy mega 58 dual sim schp709,35713205
samsung,galaxy j5 lte smj500f2,35266807
nokia,2 ta1007,35603908
nokia,lumia 1320 rm996,35918005
haier,g7,86438003
prestigio,multipad 4 diamond 785 3g pmp7079,35966905
lenovo,s90 sisley s90a1,86575302
prestigio,grace psp7557,35511206
cubot,note plus,35274109
zte,blade a1 c880a,86956102
asus,zenfone 3 max zc520tl x008da,35192808
asus,zenfone 3 max zc520tl x008da,35591708
posh mobile,kick lite s410,35402207
xiaomi,redmi 4a a10a 2015915,86955402
lg,k10 lte dual k430ds,35771707
coolpad,6030,86321601
zte,blade a610,86117803
archos,core 55p,35832008
sony,xperia m5 e5603 pm0875bv,35418807
zopo,c2,35626008
intex,aqua craze,91150005
samsung,galaxy tab 2 70 tdscdma gtp3108,35234505
lg,x power k210,35912007
wiko,bloom2,35963006
prestigio,wize f3 psp3457duo,35605107
huawei,e5356s2,86528602
huawei,p30 elel09m,86489204
micromax,elite a84,91120580
samsung,galaxy e7 lte dual sme700fds1,35849506
samsung,galaxy e7 lte dual sme700fds1,35849406
asus,zenfone max m1 zb555kl2,35454209
prestigio,multipad color 70 3g pmt5777,35370706
motorola,moto e5 plus xt19248,99001107
mastone,w30 dns s5301q,86597101
samsung,galaxy grand prime smg531mds1,35310407
alcatel,one touch pop c1 dual ot 4015d,86514902
alcatel,one touch pop c1 dual ot 4015d,86576002
kgtel,k60,35288705
samsung,ativ s gti8370,35425005
lenovo,a336,86820000
acer,liquid z5 z150 eu,35586305
lenovo,q330,86700300
zte,blade a6012,86105203
zte,blade a6012,86384103
samsung,galaxy s7 c spire wireless smg930r7,35733207
lg,stylus 3 dual m400dk,35593708
htc,10 m10h1,35249208
yezz,andy 45el lte am45el133 am45el137,35384507
yezz,andy 45el lte am45el133 am45el137,35499308
samsung,gear s2 classic smr735,35700707
archos,40 neon,35827707
lenovo,a816,86554502
beetel,gd310,91112140
lenovo,a380t,86456702
bq mobile,aquaris e50 4g 2gb,35888906
huawei,honor 10 lite hrylx1meb,86127904
huawei,honor 10 lite hrylx1meb,86226604
alcatel,2007x,86516002
huawei,p9 evaal106,86460103
fly,ff301,35242007
alcatel,idol 4 6055p,35847607
huawei,e8372 e8372h609,86407003
htc,incredible s pg32120,35510304
dexp,ixion es145 life,35554207
dexp,ixion es145 life,35307807
meizu,m045,86113502
vivo,y112,86951202
sfr,staraddict iii coolpad 8861u,86268602
zte,838f,86729603
samsung,galaxy s8 plus smg955w1,35642608
asus,zenfone 4 selfie pro zd552kl z01md2,35784208
huawei,ascend g7 g7l11,86687902
samsung,galaxy m10 smm105y,35554310
huawei,nova cazul00,86220703
blu,grand m2 lte,35459509
huawei,p9 plus dual viel29 a169l29,86086403
lg,g5 h850ar,35231508
nokia,asha 208 dual sim 2082 rm956,35727705
nokia,asha 208 dual sim 2082 rm956,35364306
samsung,galaxy s4 mini lte shve370d,35764005
intex,cloud scan fp,91154535
lg,l20 tri d107f,35829606
lg,l20 tri d107f,35565306
nokia,lumia 735 rm1039,35514306
huawei,y5 y560u23,86782402
huawei,e397,86066701
samsung,galaxy s8 plus smg955u4,35247410
zte,small fresh 3 c880u,86856502
gigabyte,gsmart sierra s1,35873505
fly,e350,91124555
fly,e350,35518908
xolo,q520s,91141460
asus,zenfone 4 ze554kl z01kd1,35811208
nokia,2 ta1029,35694709
highscreen,omega prime s,35626906
huawei,mate 9 dual mhal29b,86468303
xiaomi,redmi 3 hongmi 3 2015815,86903202
xiaomi,redmi 3 hongmi 3 2015815,99000708
blu,vivo 5r,35259608
prestigio,wize c1 pfp1240duo,35961807
archos,50f neon,35498808
archos,50f neon,35617808
samsung,galaxy note 3 td smn9008s,35262506
samsung,galaxy j3 lte dual smj320mds,35294909
samsung,galaxy j3 lte dual smj320mds,35295009
philips,xenium x130,86363001
huawei,e3272 e3272s506,86260002
intex,aqua 3g,91138345
intex,aqua 3g,91141655
lava,iris atom 2x,91148270
apple,iphone 7 a16602,35671808
zte,blade a310 dual1,86306103
huawei,honor v10 bklal201,86695303
alcatel,706,35391704
lg,isai vl v31,35447006
zte,grand x v970,86026102
zte,grand x v970,86586401
samsung,galaxy win duos cdma galaxy grand quattro schi869,35579005
samsung,galaxy win duos cdma galaxy grand quattro schi869,35990505
panasonic,eluga a2,35159808
karbonn,a6 turbo,91149660
micromax,bolt d304,91147885
explay,tornado dewav de34,86595202
explay,tornado dewav de34,86630702
karbonn,k9 smart 4g,91158430
intex,aqua ring,91152455
micromax,x072 dual,91149845
micromax,x072 dual,91153985
cubot,x18 plus,35638309
huawei,g9 plus mlatl00,86100803
panasonic,eluga l 4g,35949506
samsung,galaxy j1 ace lte dual smj110gds1,35680107
samsung,galaxy j1 ace lte dual smj110gds1,35680207
vivo,x20plus,86765003
htc,one max 0p3p510,35731005
samsung,galaxy a9 2018 dual sma920fds2,35508510
samsung,galaxy a9 2018 dual sma920fds2,35508610
fly,evo tech 4 iq45141,35691506
haier,g7s,86438203
haier,w716,86225902
oppo,a53w,86933502
huawei,y5 prime 2018 draal002,86019904
huawei,y3ii lte dual lual23,86982402
huawei,y3ii lte dual lual23,86538503
vivo,y31l1,86040803
samsung,galaxy s7 dual southeast asia smg930fd2,35843407
samsung,galaxy s7 dual southeast asia smg930fd2,35843107
lenovo,p770,86116602
lenovo,p770,86695901
htc,10 m10h,35151408
alcatel,mpop 5020e 5021e,86091602
micromax,x287i,91138665
samsung,galaxy j3 2018 smj337t,35573909
bq mobile,aquaris u plus,35363608
bq mobile,aquaris u plus,35363708
htc,vivid ph39100,35629804
xiaomi,mi4 20142181,99000554
samsung,galaxy win lte shve500k,35841005
huawei,p20 pro cltl29,86626404
lenovo,vibe a a1000m,86101903
acer,liquid z4103,35462306
acer,liquid mini us e310,35428904
haier,n87t,86355701
samsung,galaxy fame gts6810e,35694305
samsung,galaxy note 3 neo ltea smn750s,35255206
samsung,galaxy alpha smg850f2,35746606
huawei,ascend g6 g6u00,35748503
lg,spirit 4g dual h442,35918306
sony,xperia xz pm0982bv so01j,35624908
huawei,nova plus dual mlal13,86133303
lenovo,vibe x2 pro x2pa3,86580802
yezz,andy a6m,35563406
huawei,b88065,86269702
alcatel,ot 1052d,35702907
alcatel,ot 1052d,35678806
iball,cobalt solus2,91145580
sony,xperia ul pm0440bv,35766205
zen,admire fab,91146335
samsung,galaxy s6 tdlte duos smg9208,35818306
samsung,galaxy s6 tdlte duos smg9208,35818206
fly,cirrus 2 fs504,35456207
fly,cirrus 2 fs504,35456107
huawei,ascend g620s g620sl03,86539002
alcatel,xpop dual mtc 975,86055102
blu,studio 50 lte1,35464506
htc,one e9 0pjx100,35748507
htc,one e9 0pjx100,35770906
htc,titan eternity x310 pi39110,35803504
htc,amaze 4g ph85100,35726504
samsung,galaxy core lite 4g smg3589w,35357206
haier,i736,86912401
zte,mf910v,86877102
intex,cloud x2,91132410
huawei,mediapad 7 youth 2 s7721u,86439002
panasonic,eluga ray x,35802608
lg,stylus 2 plus k530f,35788307
huawei,enjoy 7 dual trtlx2,86356103
fly,cirrus 14 fs522,35793508
nokia,21 dual ta1080,35693809
nokia,21 dual ta1080,35901309
sony,xperia z1 compact m51w,35186806
micromax,unite 3 q372,91142520
micromax,unite 3 q372,91146735
motorola,electrify 2 xt881,35251305
fly,era nano 4 iq4490,86425702
doro,liberto 810,35666405
zte,blade d chat 4g t610,86957402
htc,desire 626 dual d626d,35724706
vodafone,smart turbo 7 dual vdf 502,35572908
lumigon as,t2hd,35243906
htc,desire 826 d826d,35881806
htc,desire 826 d826d,35620006
fly,power plus xxl fs530,35344009
lenovo,moto c plus dual xt1723,35564508
lenovo,moto c plus dual xt1723,35564608
huawei,honor 6 plus pecl00,86639902
huawei,honor 6 plus pecl00,86767502
sonim,xp8,35245109
sonim,xp8,35973008
myphone,1062 talk multiple 1045 1082 1067,35502905
alcatel,vodafon smart iii,86953101
lg,t315i,35682904
xiaomi,mi max 3 m1804e4c,86871003
xiaomi,mi max 3 m1804e4c,86424804
alcatel,5v 5060d,35753809
intex,aqua v5,91145950
blu,zoey 3g,35527907
huawei,honor 5x lte dual kiwtl00h,86070703
huawei,honor 5x lte dual kiwtl00h,86792202
